,ï»¿ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Customer_rating_range,Customer_loyalty,Discount_%_range
1362,1363,D,Road,4,5,233,3,medium,F,43,3856,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1363,1364,F,Road,4,3,237,2,medium,M,22,2912,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1364,1365,A,Road,5,4,144,3,low,F,59,1178,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1365,1366,B,Flight,3,1,167,3,low,M,1,1252,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1366,1367,C,Flight,4,5,138,3,low,F,64,1708,1,Rating 4 - 5,Not Loyal,(61% - 80%)
1367,1368,F,Flight,5,3,165,2,medium,M,51,1429,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1368,1369,D,Flight,4,3,247,4,low,F,19,3838,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1369,1370,F,Flight,3,2,152,6,low,F,7,1674,1,Rating 1 - 3,Loyal,(0% - 20%)
1370,1371,A,Flight,5,3,199,4,low,F,24,3473,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1371,1372,B,Flight,5,4,268,3,medium,M,6,2206,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1372,1373,C,Flight,4,5,150,2,low,F,30,1782,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1373,1374,F,Flight,5,5,190,4,medium,F,47,3644,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1374,1375,D,Flight,4,3,153,4,low,M,36,1171,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1375,1376,F,Flight,4,2,185,3,low,M,27,3410,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1376,1377,A,Flight,5,1,274,3,medium,M,58,2098,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1377,1378,B,Flight,4,3,258,2,high,M,11,2252,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1378,1379,C,Flight,3,1,110,3,low,F,54,1155,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1379,1380,F,Flight,3,5,240,6,low,M,21,3559,1,Rating 4 - 5,Loyal,(21% - 40%)
1380,1381,D,Flight,6,5,118,2,low,F,6,1726,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1381,1382,F,Flight,3,2,243,2,low,F,38,3850,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1382,1383,A,Flight,6,2,225,6,low,M,44,2057,1,Rating 1 - 3,Loyal,(41% - 60%)
1383,1384,B,Flight,3,2,238,4,medium,F,49,3179,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1384,1385,C,Flight,4,4,127,5,low,F,16,1955,1,Rating 4 - 5,Loyal,(0% - 20%)
1385,1386,F,Flight,3,5,166,2,low,M,45,1665,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1386,1387,D,Flight,3,1,180,3,low,F,29,1414,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1387,1388,F,Ship,4,4,161,2,medium,M,59,1941,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1388,1389,A,Ship,5,1,230,3,low,F,43,2994,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1389,1390,B,Ship,5,3,167,3,low,F,51,1573,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1390,1391,C,Ship,4,5,186,3,low,F,16,2693,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1391,1392,F,Ship,4,4,150,3,high,M,9,1620,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1392,1393,D,Ship,4,1,253,7,medium,M,37,2955,1,Rating 1 - 3,Loyal,(21% - 40%)
1393,1394,F,Ship,5,2,239,2,medium,F,59,2897,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1394,1395,A,Ship,6,2,294,4,low,M,57,1265,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1395,1396,B,Ship,4,2,158,4,low,F,45,1758,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1396,1397,C,Ship,6,3,135,5,low,F,20,1266,1,Rating 1 - 3,Loyal,(0% - 20%)
1397,1398,F,Ship,4,2,238,3,low,F,28,1040,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1398,1399,D,Ship,6,3,213,3,low,M,17,1656,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1399,1400,F,Ship,5,2,165,2,medium,F,18,1918,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1400,1401,A,Ship,4,3,247,4,low,M,16,2362,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1401,1402,B,Ship,3,5,152,6,low,F,32,1158,1,Rating 4 - 5,Loyal,(21% - 40%)
1402,1403,C,Ship,5,4,199,4,low,M,24,3443,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1403,1404,F,Ship,5,2,268,3,medium,F,41,3716,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1404,1405,D,Ship,4,3,150,2,low,M,51,1491,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1405,1406,F,Ship,5,1,190,4,medium,M,24,3446,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1406,1407,A,Ship,4,1,153,4,low,M,7,1130,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1407,1408,B,Ship,4,4,185,3,low,M,13,2080,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1408,1409,C,Ship,5,3,274,3,medium,F,54,2905,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1409,1410,F,Ship,4,5,258,2,high,M,5,3512,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1410,1411,D,Ship,3,4,110,3,low,F,55,1281,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1411,1412,F,Ship,3,2,240,6,low,F,26,2683,1,Rating 1 - 3,Loyal,(21% - 40%)
1412,1413,A,Ship,6,2,118,2,low,F,2,1744,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1413,1414,B,Ship,3,4,243,2,low,F,14,3693,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1414,1415,C,Ship,6,5,225,6,low,F,55,2052,1,Rating 4 - 5,Loyal,(41% - 60%)
1415,1416,F,Ship,3,3,238,4,medium,M,57,3537,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1416,1417,D,Ship,4,3,127,5,low,F,5,1205,1,Rating 1 - 3,Loyal,(0% - 20%)
1417,1418,F,Ship,3,3,166,2,low,F,45,1791,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1418,1419,A,Ship,3,5,180,3,low,M,6,1228,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1419,1420,B,Ship,4,5,161,2,medium,M,55,1457,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1420,1421,C,Ship,5,4,230,3,low,F,39,3989,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1421,1422,F,Ship,5,5,167,3,low,F,53,1564,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1422,1423,D,Ship,4,3,186,3,low,F,25,3851,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1423,1424,F,Ship,4,2,150,3,high,F,32,1689,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1424,1425,A,Ship,4,5,253,7,medium,F,11,3825,1,Rating 4 - 5,Loyal,(0% - 20%)
1425,1426,B,Ship,5,2,239,2,medium,F,15,2471,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1426,1427,C,Ship,6,3,294,4,low,M,52,1667,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1427,1428,F,Ship,4,5,158,4,low,F,4,1595,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1428,1429,D,Ship,6,2,135,5,low,M,26,1585,1,Rating 1 - 3,Loyal,(21% - 40%)
1429,1430,F,Ship,4,5,238,3,low,M,9,1724,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1430,1431,A,Ship,6,2,265,3,low,M,3,1904,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1431,1432,B,Ship,5,5,180,5,medium,M,35,1725,1,Rating 4 - 5,Loyal,(21% - 40%)
1432,1433,C,Ship,7,2,229,3,low,F,43,1793,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1433,1434,F,Ship,3,2,176,3,low,M,51,1297,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1434,1435,D,Ship,3,5,172,2,medium,M,60,1840,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1435,1436,F,Ship,6,5,100,4,medium,F,3,1440,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1436,1437,A,Ship,4,3,142,6,low,M,6,1459,1,Rating 1 - 3,Loyal,(0% - 20%)
1437,1438,B,Ship,4,3,153,3,medium,M,2,1095,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1438,1439,C,Ship,3,4,160,4,low,F,56,1408,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1439,1440,F,Ship,4,3,217,3,medium,F,16,3444,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1440,1441,D,Ship,3,2,273,3,low,M,41,3464,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1441,1442,F,Ship,3,4,133,3,low,M,17,1187,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1442,1443,A,Ship,3,4,155,4,low,M,54,1885,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1443,1444,B,Ship,5,3,184,4,medium,F,2,3798,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1444,1445,C,Ship,5,5,230,3,medium,M,43,3609,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1445,1446,F,Ship,3,4,254,3,high,M,53,3538,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1446,1447,D,Ship,4,5,108,6,medium,M,46,1882,1,Rating 4 - 5,Loyal,(41% - 60%)
1447,1448,F,Ship,4,4,154,3,low,M,52,1367,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1448,1449,A,Ship,5,3,177,3,low,F,1,1916,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1449,1450,B,Ship,3,3,162,2,medium,M,65,1184,1,Rating 1 - 3,Not Loyal,(61% - 80%)
1450,1451,C,Ship,3,4,285,6,low,F,27,2249,1,Rating 4 - 5,Loyal,(21% - 40%)
1451,1452,F,Ship,3,2,257,3,low,F,6,3620,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1452,1453,D,Ship,4,5,143,3,low,F,48,1922,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1453,1454,F,Ship,6,3,223,6,medium,M,29,2980,1,Rating 1 - 3,Loyal,(21% - 40%)
1454,1455,A,Ship,3,5,230,2,low,M,27,3840,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1455,1456,B,Ship,4,5,241,4,medium,M,58,2874,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1456,1457,C,Ship,3,5,156,3,medium,M,44,1424,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1457,1458,F,Ship,4,4,232,4,low,M,27,3436,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1458,1459,D,Ship,3,2,231,3,low,M,55,3952,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1459,1460,F,Ship,3,4,183,2,medium,F,52,2078,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1460,1461,A,Ship,4,1,240,3,low,M,50,2430,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1461,1462,B,Ship,4,4,218,2,medium,M,27,2824,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1462,1463,C,Ship,5,1,248,3,low,M,37,3830,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1463,1464,F,Ship,4,3,170,2,medium,F,33,1980,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1464,1465,D,Ship,3,2,226,3,low,M,11,3708,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1465,1466,F,Ship,4,3,232,3,low,M,11,2624,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1466,1467,A,Ship,4,1,192,3,low,F,15,3460,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1467,1468,B,Ship,3,5,250,4,low,F,11,3464,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1468,1469,C,Ship,5,5,224,3,medium,F,48,2298,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1469,1470,F,Ship,3,3,167,3,medium,F,42,1363,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1470,1471,D,Ship,2,3,123,2,medium,M,11,1383,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1471,1472,F,Ship,5,2,243,2,medium,F,4,3681,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1472,1473,A,Ship,4,3,233,2,low,F,45,2732,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1473,1474,B,Ship,3,3,201,2,high,M,36,3340,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1474,1475,C,Ship,3,1,230,2,medium,F,18,2832,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1475,1476,F,Ship,4,3,271,3,low,M,59,2996,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1476,1477,D,Ship,4,1,159,3,medium,M,13,1445,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1477,1478,F,Ship,3,3,249,3,low,M,55,3375,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1478,1479,A,Ship,3,4,137,3,medium,F,17,1212,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1479,1480,B,Ship,3,5,225,3,medium,M,8,3813,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1480,1481,C,Road,4,1,226,3,low,F,28,2211,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1481,1482,F,Road,4,4,174,3,low,M,49,1141,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1482,1483,D,Road,5,2,264,5,low,F,27,3118,1,Rating 1 - 3,Loyal,(21% - 40%)
1483,1484,F,Road,4,4,151,3,medium,F,6,1930,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1484,1485,A,Road,3,1,180,2,low,F,65,1321,1,Rating 1 - 3,Not Loyal,(61% - 80%)
1485,1486,B,Road,3,4,149,2,medium,F,37,1080,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1486,1487,C,Road,3,1,209,3,low,F,20,3181,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1487,1488,F,Road,6,1,219,6,low,F,10,2385,1,Rating 1 - 3,Loyal,(0% - 20%)
1488,1489,D,Road,4,3,164,3,low,M,28,1880,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1489,1490,F,Road,3,1,268,3,medium,M,3,3040,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1490,1491,A,Road,4,4,204,4,medium,F,35,2513,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1491,1492,B,Road,5,5,226,3,medium,M,23,2626,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1492,1493,C,Road,5,1,105,5,low,M,1,1101,1,Rating 1 - 3,Loyal,(0% - 20%)
1493,1494,F,Road,4,5,153,3,low,M,10,1183,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1494,1495,D,Road,3,5,192,2,medium,F,5,2339,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1495,1496,F,Road,4,3,199,2,low,F,28,2607,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1496,1497,A,Road,5,2,156,4,medium,M,39,1204,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1497,1498,B,Road,3,2,180,2,low,M,53,1853,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1498,1499,C,Road,4,5,162,2,medium,M,62,1650,1,Rating 4 - 5,Not Loyal,(61% - 80%)
1499,1500,F,Road,5,5,284,6,low,M,9,3912,1,Rating 4 - 5,Loyal,(0% - 20%)
1500,1501,D,Road,4,1,271,2,high,M,33,3269,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1501,1502,F,Road,3,1,269,2,medium,M,38,2195,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1502,1503,A,Flight,3,4,135,3,low,M,11,1740,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1503,1504,B,Flight,5,2,200,2,low,F,2,2075,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1504,1505,C,Flight,5,2,206,6,medium,M,23,2016,1,Rating 1 - 3,Loyal,(21% - 40%)
1505,1506,F,Flight,4,2,229,4,low,F,32,3518,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1506,1507,D,Flight,5,3,267,3,low,M,48,3393,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1507,1508,F,Flight,4,1,135,2,medium,F,64,1471,1,Rating 1 - 3,Not Loyal,(61% - 80%)
1508,1509,A,Flight,4,5,259,2,medium,M,15,2381,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1509,1510,B,Flight,3,3,223,2,medium,M,30,3622,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1510,1511,C,Flight,3,4,245,4,low,M,20,2534,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1511,1512,F,Flight,4,4,207,3,low,M,20,2637,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1512,1513,D,Flight,5,3,171,3,medium,M,62,1304,1,Rating 1 - 3,Not Loyal,(61% - 80%)
1513,1514,F,Flight,3,5,130,5,low,F,27,1891,1,Rating 4 - 5,Loyal,(21% - 40%)
1514,1515,A,Flight,3,2,241,3,medium,F,60,3922,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1515,1516,B,Flight,4,4,261,3,low,F,33,3678,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1516,1517,C,Flight,3,5,182,3,medium,M,34,3595,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1517,1518,F,Flight,3,2,270,4,high,M,29,3768,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1518,1519,D,Flight,3,5,157,4,medium,M,26,1969,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1519,1520,F,Flight,3,3,172,4,low,F,33,1989,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1520,1521,A,Flight,3,3,205,2,medium,F,2,2910,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1521,1522,B,Flight,4,5,268,3,medium,M,7,3622,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1522,1523,C,Flight,3,1,156,3,medium,F,1,1517,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1523,1524,F,Flight,3,5,202,2,low,F,4,3372,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1524,1525,D,Ship,3,1,249,3,low,F,43,3277,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1525,1526,F,Ship,3,2,141,3,medium,F,41,1801,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1526,1527,A,Ship,3,1,230,2,medium,M,28,3646,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1527,1528,B,Ship,5,5,229,2,medium,F,59,3844,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1528,1529,C,Ship,4,5,146,4,low,F,25,1606,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1529,1530,F,Ship,3,3,162,2,low,F,26,1659,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1530,1531,D,Ship,5,2,241,3,low,M,39,3743,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1531,1532,F,Ship,3,4,271,2,low,M,14,2163,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1532,1533,A,Ship,3,5,166,3,high,F,31,1117,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1533,1534,B,Ship,3,1,171,3,medium,M,28,1075,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1534,1535,C,Ship,3,5,169,2,low,F,20,1021,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1535,1536,F,Ship,3,1,137,3,low,M,47,1611,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1536,1537,D,Ship,3,4,211,3,low,M,56,3654,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1537,1538,F,Ship,4,5,171,3,medium,F,2,1114,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1538,1539,A,Ship,4,4,142,4,medium,M,2,1461,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1539,1540,B,Ship,3,2,184,4,medium,F,10,2972,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1540,1541,C,Ship,6,5,111,6,high,F,28,1216,1,Rating 4 - 5,Loyal,(21% - 40%)
1541,1542,F,Ship,2,5,278,4,low,M,34,3416,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1542,1543,D,Ship,3,5,160,2,medium,F,41,1495,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1543,1544,F,Ship,3,4,212,2,medium,F,56,3976,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1544,1545,A,Ship,3,5,175,2,low,M,59,1051,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1545,1546,B,Ship,4,3,251,3,medium,F,46,2632,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1546,1547,C,Ship,3,3,205,2,low,F,15,3231,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1547,1548,F,Ship,5,5,163,3,low,M,54,1536,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1548,1549,D,Ship,4,1,272,2,low,M,27,2030,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1549,1550,F,Ship,4,1,134,3,medium,F,37,1818,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1550,1551,A,Ship,5,5,259,2,medium,M,63,2583,1,Rating 4 - 5,Not Loyal,(61% - 80%)
1551,1552,B,Ship,3,3,246,3,medium,F,45,3945,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1552,1553,C,Ship,4,1,211,2,medium,F,44,3099,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1553,1554,F,Ship,4,2,190,2,medium,F,6,3595,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1554,1555,D,Ship,4,5,233,5,medium,F,44,2648,1,Rating 4 - 5,Loyal,(41% - 60%)
1555,1556,F,Ship,5,4,199,2,high,F,20,2553,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1556,1557,A,Ship,5,2,191,3,high,F,52,2028,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1557,1558,B,Ship,4,1,148,3,low,M,30,1731,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1558,1559,C,Ship,2,5,177,6,medium,F,41,1772,1,Rating 4 - 5,Loyal,(41% - 60%)
1559,1560,F,Ship,3,1,171,2,low,M,1,1629,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1560,1561,D,Ship,3,3,237,3,medium,M,57,3761,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1561,1562,F,Ship,4,4,265,3,medium,F,47,3307,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1562,1563,A,Ship,4,2,136,2,medium,M,19,1387,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1563,1564,B,Ship,3,1,145,2,high,M,25,1851,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1564,1565,C,Ship,4,1,238,2,low,F,3,2241,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1565,1566,F,Ship,4,4,210,3,medium,F,14,3666,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1566,1567,D,Ship,5,1,159,4,low,M,38,1277,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1567,1568,F,Ship,4,1,232,2,medium,F,26,3300,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1568,1569,A,Ship,3,2,174,3,low,M,4,1337,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1569,1570,B,Ship,5,1,129,5,medium,M,35,1458,1,Rating 1 - 3,Loyal,(21% - 40%)
1570,1571,C,Ship,3,3,201,4,medium,M,7,2299,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1571,1572,F,Ship,5,2,151,4,low,M,12,1145,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1572,1573,D,Ship,2,1,252,3,low,F,12,2800,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1573,1574,F,Ship,5,3,156,3,medium,M,58,1218,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1574,1575,A,Ship,6,3,215,5,low,M,13,3899,1,Rating 1 - 3,Loyal,(0% - 20%)
1575,1576,B,Ship,4,4,153,3,low,M,13,1402,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1576,1577,C,Ship,5,1,261,3,low,M,25,3494,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1577,1578,F,Ship,5,4,263,3,medium,M,61,2606,1,Rating 4 - 5,Not Loyal,(61% - 80%)
1578,1579,D,Ship,5,4,153,6,medium,M,35,1082,1,Rating 4 - 5,Loyal,(21% - 40%)
1579,1580,F,Ship,3,5,137,3,high,F,28,1815,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1580,1581,A,Ship,3,5,270,5,low,M,31,3737,1,Rating 4 - 5,Loyal,(21% - 40%)
1581,1582,B,Ship,5,1,167,2,low,M,62,1884,1,Rating 1 - 3,Not Loyal,(61% - 80%)
1582,1583,C,Ship,3,3,143,3,low,M,64,1630,1,Rating 1 - 3,Not Loyal,(61% - 80%)
1583,1584,F,Ship,5,5,214,3,low,F,31,2033,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1584,1585,D,Ship,2,2,182,2,medium,F,14,3751,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1585,1586,F,Ship,3,5,234,2,high,M,4,2701,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1586,1587,A,Ship,4,5,181,2,medium,M,59,2239,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1587,1588,B,Ship,2,4,162,3,low,F,34,1558,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1588,1589,C,Ship,5,4,185,4,medium,M,31,3565,1,Rating 4 - 5,Not Loyal,(21% - 40%)
1589,1590,F,Ship,4,2,199,2,medium,F,4,3351,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1590,1591,D,Ship,4,1,272,3,medium,M,49,2803,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1591,1592,F,Ship,5,3,252,2,low,M,11,3036,1,Rating 1 - 3,Not Loyal,(0% - 20%)
1592,1593,A,Ship,4,5,156,3,low,F,2,1127,1,Rating 4 - 5,Not Loyal,(0% - 20%)
1593,1594,B,Ship,4,2,173,3,medium,F,63,1220,1,Rating 1 - 3,Not Loyal,(61% - 80%)
1594,1595,C,Ship,3,2,148,4,medium,F,38,1322,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1595,1596,F,Ship,4,3,158,3,medium,F,27,1207,1,Rating 1 - 3,Not Loyal,(21% - 40%)
1596,1597,D,Ship,5,2,261,3,low,M,62,3352,1,Rating 1 - 3,Not Loyal,(61% - 80%)
1597,1598,F,Ship,2,4,105,2,medium,M,54,1707,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1598,1599,A,Ship,3,5,193,3,high,F,57,3364,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1599,1600,B,Ship,3,3,198,3,low,M,49,2446,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1600,1601,C,Ship,4,5,213,3,medium,F,42,3121,1,Rating 4 - 5,Not Loyal,(41% - 60%)
1601,1602,F,Ship,4,1,244,3,low,M,59,3073,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1602,1603,D,Ship,6,4,241,6,high,F,61,2806,1,Rating 4 - 5,Loyal,(61% - 80%)
1603,1604,F,Ship,4,5,278,6,low,M,4,3909,1,Rating 4 - 5,Loyal,(0% - 20%)
1604,1605,A,Ship,2,2,145,2,low,M,1,1126,1,Rating 1 - 3,Not Loyal,(0% - 20%)
